N,low,high
319,17.85,18.88
320,17.88,18.91
321,17.91,18.94
322,17.94,18.96
323,17.96,18.99
324,17.99,19.02
325,18.02,19.05
326,18.05,19.07
327,18.07,19.10
328,18.10,19.13
329,18.13,19.16
330,18.16,19.18
331,18.18,19.21
332,18.21,19.24
333,18.24,19.27
334,18.27,19.29
335,18.29,19.32
336,18.32,19.35
337,18.35,19.38
338,18.38,19.40
339,18.40,19.43
340,18.43,19.46
341,18.46,19.48
342,18.48,19.51
343,18.51,19.54
344,18.54,19.57
345,18.57,19.59
346,18.59,19.62
347,18.62,19.65
348,18.65,19.67
349,18.67,19.70
350,18.70,19.73
351,18.73,19.75
352,18.75,19.78
353,18.78,19.81
354,18.81,19.83
355,18.83,19.86
356,18.86,19.89
357,18.89,19.91
358,18.91,19.94
359,18.94,19.96
360,18.96,19.99
361,18.99,20.02
362,19.02,20.04
363,19.04,20.07
364,19.07,20.10
365,19.10,20.12
366,19.12,20.15
367,19.15,20.17
368,19.17,20.20
369,19.20,20.23
370,19.23,20.25
371,19.25,20.28
372,19.28,20.30
373,19.30,20.33
374,19.33,20.36
375,19.36,20.38
376,19.38,20.41
377,19.41,20.43
378,19.43,20.46
379,19.46,20.49
380,19.49,20.51
381,19.51,20.54
382,19.54,20.56
383,19.56,20.59
384,19.59,20.61
385,19.61,20.64
386,19.64,20.66
387,19.66,20.69
388,19.69,20.71
389,19.71,20.74
390,19.74,20.77
391,19.77,20.79
392,19.79,20.82
393,19.82,20.84
394,19.84,20.87
395,19.87,20.89
396,19.89,20.92
397,19.92,20.94
398,19.94,20.97
399,19.97,20.99
400,19.99,21.02
401,20.02,21.04
402,20.04,21.07
403,20.07,21.09
404,20.09,21.12
405,20.12,21.14
406,20.14,21.17
407,20.17,21.19
408,20.19,21.22
409,20.22,21.24
410,20.24,21.26
411,20.26,21.29
412,20.29,21.31
413,20.31,21.34
414,20.34,21.36
415,20.36,21.39
416,20.39,21.41
417,20.41,21.44
418,20.44,21.46
419,20.46,21.49
420,20.49,21.51
421,20.51,21.53
422,20.53,21.56
423,20.56,21.58
424,20.58,21.61
425,20.61,21.63
426,20.63,21.66
427,20.66,21.68
428,20.68,21.70
429,20.70,21.73
430,20.73,21.75
431,20.75,21.78
432,20.78,21.80
433,20.80,21.82
434,20.82,21.85
435,20.85,21.87
436,20.87,21.90
437,20.90,21.92
438,20.92,21.94
439,20.94,21.97
440,20.97,21.99
441,20.99,22.02
442,21.02,22.04
443,21.04,22.06
444,21.06,22.09
445,21.09,22.11
446,21.11,22.13
447,21.13,22.16
448,21.16,22.18
449,21.18,22.21
450,21.21,22.23
451,21.23,22.25
452,21.25,22.28
453,21.28,22.30
454,21.30,22.32
455,21.32,22.35
456,21.35,22.37
457,21.37,22.39
458,21.39,22.42
459,21.42,22.44
460,21.44,22.46
461,21.46,22.49
462,21.49,22.51
463,21.51,22.53
464,21.53,22.56
465,21.56,22.58
466,21.58,22.60
467,21.60,22.63
468,21.63,22.65
469,21.65,22.67
470,21.67,22.69
471,21.69,22.72
472,21.72,22.74
473,21.74,22.76
474,21.76,22.79
475,21.79,22.81
476,21.81,22.83
477,21.83,22.86
478,21.86,22.88
479,21.88,22.90
480,21.90,22.92
481,21.92,22.95
482,21.95,22.97
483,21.97,22.99
484,21.99,23.02
485,22.02,23.04
486,22.04,23.06
487,22.06,23.08
488,22.08,23.11
489,22.11,23.13
490,22.13,23.15
491,22.15,23.17
492,22.17,23.20
493,22.20,23.22
494,22.22,23.24
495,22.24,23.26
496,22.26,23.29
497,22.29,23.31
498,22.31,23.33
499,22.33,23.35
500,22.35,23.38
501,22.38,23.40
502,22.40,23.42
503,22.42,23.44
504,22.44,23.46
505,22.46,23.49
506,22.49,23.51
507,22.51,23.53
508,22.53,23.55
509,22.55,23.58
510,22.58,23.60
511,22.60,23.62
512,22.62,23.64
513,22.64,23.66
514,22.66,23.69
515,22.69,23.71
516,22.71,23.73
517,22.73,23.75
518,22.75,23.77
519,22.77,23.80
520,22.80,23.82
521,22.82,23.84
522,22.84,23.86
523,22.86,23.88
524,22.88,23.91
525,22.91,23.93
526,22.93,23.95
527,22.95,23.97
528,22.97,23.99
529,22.99,24.01
530,23.01,24.04
531,23.04,24.06
532,23.06,24.08
533,23.08,24.10
534,23.10,24.12
535,23.12,24.14
536,23.14,24.17
537,23.17,24.19
538,23.19,24.21
539,23.21,24.23
540,23.23,24.25
541,23.25,24.27
542,23.27,24.30
543,23.30,24.32
544,23.32,24.34
545,23.34,24.36
546,23.36,24.38
547,23.38,24.40
548,23.40,24.42
549,23.42,24.44
550,23.44,24.47
551,23.47,24.49
552,23.49,24.51
553,23.51,24.53
554,23.53,24.55
555,23.55,24.57
556,23.57,24.59
557,23.59,24.61
558,23.61,24.64
559,23.64,24.66
560,23.66,24.68
561,23.68,24.70
562,23.70,24.72
563,23.72,24.74
564,23.74,24.76
565,23.76,24.78
566,23.78,24.80
567,23.80,24.83
568,23.83,24.85
569,23.85,24.87
570,23.87,24.89
571,23.89,24.91
